No;Province;Year;Stunting Prevalence;Poverty;Exclusive Breastfeeding;LBW;High School Completion;Proper Sanitation Access;Unmet need;GDP;Calory Consumption;Protein Consumption
132;SOUTHEAST SULAWESI;2022;11.042;11.27;61.68;14.97;65.97;87.07;10.21;58715;1948.633956;60.39037503
133;NORTH SULAWESI;2022;2.313;7.34;63.15;11.22;66.66;84.05;4.93;59021;2154.557845;68.0615836
134;WEST SUMATERA;2022;10.317;6.04;74.32;10.17;65.96;69.27;4.31;50264;2109.425617;59.24326608
135;SOUTH SUMATERA;2022;3.104;11.95;70.46;12.02;67.07;78.62;4.7;68237;2182.467547;65.18084353
136;NORTH SUMATERA;2022;5.51;8.33;57.17;11.93;77.16;82.3;5.96;62922;2123.412624;64.65300646
137;ACEH;2023;7.5;14.45;67.05;;74.46;;5.79;41424;2052.852427;61.05000715
138;BALI;2023;3.2;4.25;69.01;;76.51;;2.75;62293;2263.576305;65.85525337
139;BANTEN;2023;4;6.17;74.62;;70.07;;5.27;66147;2207.370791;66.92857927
140;BENGKULU;2023;4.5;14.04;72.44;;63.41;;5.92;46285;2059.978071;60.31744858
141;DI YOGYAKARTA;2023;8.9;11.04;78.25;;89.69;;4.13;48358;2052.774297;63.78372777
142;DKI JAKARTA;2023;1;4.44;76.39;;88.1;;3.29;322615;2157.82766;70.64703705
143;GORONTALO;2023;5.2;15.15;55.11;;46.19;;8.72;42347;1996.251133;58.4635733
144;JAMBI;2023;3.7;7.58;74.14;;66.62;;5.93;79836;2042.690464;59.52137867
145;WEST JAVA;2023;6.3;7.62;80.08;;66.47;;4.96;52651;2110.330645;63.44314248
146;CENTRAL JAVA;2023;9.1;10.77;80.2;;58.35;;5.43;45199;2024.945853;59.65486479
147;EAST JAVA;2023;6.9;10.35;72.68;;68.65;;5.12;71122;2068.372081;60.65834872
148;WEST KALIMANTAN;2023;17.5;6.71;72.97;;55.58;;7.23;48809;1919.500159;58.63046494
149;SOUTH KALIMANTAN;2023;8.7;4.29;65.69;;68.35;;5.82;63779;2167.465129;67.35707555
150;CENTRAL KALIMANTAN;2023;10.1;5.11;55.78;;63.93;;5.72;75294;2133.874049;64.01197115
151;EAST KALIMANTAN;2023;10.2;6.11;77.7;;73.63;;4.62;215761;2008.809453;65.7208471
